"location_key","gdp_usd","gdp_per_capita_usd","infant_mortality_rate","adult_male_mortality_rate","adult_female_mortality_rate","nurses_per_1000","physicians_per_1000","health_expenditure_usd"
"NE",12928145120,554,48,251.729,222.743,0.2695,0.0433,29.26165
"NG",448120428858,2229,75.7,364.321,324.961,1.1792,0.3806,73.92498
"NI",12520915291,1912,15.7,200.678,102.575,1.5334,0.9775,192.083389
"NL",913366020000,52982,3.3,65.56,51.048,11.1839,3.6054,4911.44043
"NO",403336363636,75419,2.1,62.494,38.861,18.2248,2.9164,7936.375
"NP",30641380604,1071,26.7,167.316,129.611,3.1084,0.7486,47.915363
"OM",76983094928,15474,9.8,101.388,63.183,4.1965,2.0031,587.646301
"PA",66800800000,15731,13.1,148.159,76.653,3.0741,1.5687,1112.303223
"PE",226848050819,6977,11.1,146.37,84.815,2.4398,1.3048,332.570923
"PG",24969611434,2845,38,251.144,187.7,0.4548,0.0699,61.45784
"PH",376795508679,3485,22.5,235.071,130.91,4.9351,0.6004,132.900986
"PK",278221906022,1284,57.2,172.896,137.509,0.6683,0.9801,44.592964
"PL",585705873800,15222,3.8,160.653,61.842,6.8926,2.3788,906.820129
"PT",240597516000,23364,3.1,103.994,42.442,6.9746,5.124,1908.033936
"PY",38145288939,5414,17.2,163.978,120.525,1.6604,1.3544,381.113068
"QA",183466208791,64781,5.8,41.498,31.873,7.2628,2.4852,1649.186157
"RO",241475766400,12390,6.1,171.82,73.319,7.3891,2.9807,555.104736
"RS",51409167350,7402,4.8,141.791,74.794,6.0855,3.1131,528.545166
"RW",10122472590,801,27,216.342,161.59,1.2044,0.134,49.204456
"SA",792966838161,23139,6,91.872,76.148,5.4763,2.6117,1093.405518
"SB",1425074225,2127,17.1,162.895,124.818,2.1642,0.1937,101.239868
"SC",1698843062,17401,12.4,201.609,97.723,8.0773,2.1212,791.656677
"SD",18902284475,441,42.1,244.878,187.141,0.6952,0.2618,193.793045
"SE",556025322000,54634,2.2,62.062,38.431,11.8164,3.984,5904.583984
"SG",372062527488,65233,2.3,59.839,34.939,6.2432,2.2936,2618.712402
"SI",53990687600,26078,1.7,90.934,45.488,9.9745,3.0861,1920.28186
"SK",105870732800,19470,4.6,144.821,64.214,6.0671,3.4156,1186.136353
"SN",23578084052,1446,31.8,216.045,144.704,0.3127,0.0691,55.014038
"SR",3985250737,6854,16.9,219.754,118.443,2.7569,1.2101,339.327972
"ST",429016605,1994,24.4,188.249,124.395,1.9242,0.0531,119.695656
"SV",27022640000,4187,11.8,268.447,103.299,1.8344,1.5662,282.491028
"SZ",4405405802,3837,43,479.936,309.883,4.1415,0.3285,224.736771
"TD",11314951342,709,71.4,377.607,335.378,0.2322,0.0434,29.730864
"TG",5459979416,675,47.4,277.736,244.396,0.4102,0.0774,38.048714
"TH",543649976165,7808,7.8,186.853,77.992,2.7593,0.805,247.03511
"TL",1673540300,1294,39.3,168.862,117.478,1.668,0.7224,83.197708
"TN",38797709923,3317,14.6,106.668,67.321,2.5136,1.3025,250.562225
"TR",754411708202,9042,9.1,119.237,62.33,2.7107,1.8492,444.653687
"TT",24100202833,17276,16.4,186.336,108.616,4.0934,4.1675,1124.091675
"TZ",63177068174,1122,37.6,249.798,193.172,0.5843,0.014,33.916576
"UG",34387229486,776,33.8,302.371,233.267,1.2382,0.168,38.426441
"US",21374418877706,65118,5.6,139.141,81.935,14.548,2.612,10246.138672
"UY",56045912952,16190,6.4,139.322,76.015,1.9412,5.0794,1591.533203
"VN",261921244843,2715,16.5,188.583,76.363,1.4463,0.8281,129.575958
"VU",917058850,3058,22.3,151.626,102.42,1.4247,0.1653,105.666527
"WS",850655017,4315,13.6,138.239,80.735,2.4885,0.3445,233.065063
"ZA",351431649241,6001,28.5,376.404,248.816,1.3078,0.9054,499.237549
"ZM",23064722446,1291,40.4,321.143,221.573,1.3376,1.1867,67.648666
"ZW",21440758800,1463,33.9,373.207,337.702,1.9346,0.2096,110.14962
